ID,EFFECT_NAME,Korean_NAME,CATEGORY,INCREASE_EFFECT ,Description
3110,speedup_1,속도 증가 Lv.1,1,10.0,기본 속도가 10 % 증가합니다.
3115,speedup_2,속도 증가 Lv.2,1,15.0,기본 속도가 15 % 증가합니다.
3130,speedup_3,속도 증가 Lv.3,1,30.0,기본 속도가 30 % 증가합니다.
3145,speedup_4,속도 증가 Lv.4,1,45.0,기본 속도가 45 % 증가합니다.
3210,energy_1,에너지 효율 Lv.1,2,10.0,방어막 최대 수치가 10 % 증가합니다.
3230,energy_2,애너지 효율 Lv.2,2,30.0,방어막 최대 수치가 30 % 증가합니다.
3260,energy_3,에너지 효율 Lv.3,2,60.0,방어막 최대 수치가 60 % 증가합니다.
3340,energy_charge,에너지 충전 속도 증가,3,40.0,방어막 재생 속도가 40 % 증가합니다.
3420,hpup_1,내구도 증가 Lv.1,4,20.0,기체의 내구도 수치가 20 % 증가합니다.
3425,hpup_2,내구도 증가 Lv.2,4,25.0,기체의 내구도 수치가 25 % 증가합니다.
3435,hpup_3,내구도 증가 Lv.3,4,35.0,기체의 내구도 수치가 35 % 증가합니다.
3450,hpup_4,내구도 증가 Lv.4,4,50.0,기체의 내구도 수치가 50 % 증가합니다.
3510,searchrange_1,탐지거리 Lv.1,5,10.0,적을 탐지할 수 있는 거리가 10 % 증가합니다.
3520,searchrange_2,탐지거리 Lv.2,5,20.0,적을 탐지할 수 있는 거리가 20 % 증가합니다.
3535,searchrange_3,탐지거리 Lv.3,5,35.0,적을 탐지할 수 있는 거리가 35 % 증가합니다.
