ID,Weapon_name,Weapon_address,korean_name,CATEGORY,Ammo_Projectile,Effect_1,Effect_2,Effect_3,Rate_of_fire,Max_Range,Ammo_capacity,number_of_uses,Use_cooltime,Hardpoint,Unlock_Lv.,Unlock_Precondition,Cost,Item_Description
20110001,sidearm_Laser_1,Sci-Fi Flat Skills / Tex_skill_13,보안부 표준형 소형 레이저,0,1,10,5.0,,12.5,300.0,600,,5.0,1,,기본 무장,,"보안부 기본 제식 무장입니다, 단순하지만 효과적입니다."
20110302,sidearm_Laser_2,Sci-Fi Flat Skills / Tex_skill_13,개조된 표준형 소형 레이저,0,1,15,7.5,,13.0,350.0,550,,4.5,1,3,소형 해적선 20대 격파,4500,일선 보안관들의 의견을 반영해 개량한 기본 제식 무장입니다
20111003,sidearm_Laser_3,Sci-Fi Flat Skills / Tex_skill_13,군용 규격 소형 레이저,0,1,20,10.0,,15.0,400.0,700,,4.8,1,10,중형/ 개조 중형 해적선 각 15대 격파,8000,과거 군에서 사용하던 제식 무장입니다. 더욱 강력한 화력이 필요할 때 사용하면 좋습니다.
20111604,clay_grenade,Sci-Fi Flat Skills / Tex_skill_22,점착 유탄,0,1,10,10.0,100,,200.0,1,20,8.0,1,16,,10000,로켓으로 추진되는 점토형 유탄으로 범죄자들의 기체를 무력화 시키기 위한 저강도 무장입니다. 느리지만 맞으면 높은 확률로 무력화 될 것입니다.
20020505,emp_emitter_1,Sci-Fi Flat Skills / Tex_skill_45,저출력 전자기파 발사기,0,0,0,20.0,45,,250.0,60,2,10.0,2,5,,9500,상대 기체의 전자 부품들을 고장내는데 특화된 특수목적 무장입니다. 방어막을 제거하는데 효과적입니다.
20020906,emp_emitter_2,Sci-Fi Flat Skills / Tex_skill_45,대출력 전자기파 발사기,0,0,0,45.0,75,,350.0,40,2,8.0,2,9,종류 상관 없이 적 30대 무력화 ,12500,더욱 강력한 출력으로 상대 기체의 전자 부품들을 고장냅니다. 방어막을 제거하는데 매우 효과적입니다.
20020707,laser_canon_1,Sci-Fi Flat Skills / Tex_skill_67, 시제형 대형 레이저 발사기,0,0,50,25.0,15,,450.0,1,10,15.0,2,7,,20000,강력한 단일 레이저를 발사하는 프로토타입 레이저포입니다. 자동 조준을 지원하지 않습니다.
20021108,laser_canon_2,Sci-Fi Flat Skills / Tex_skill_67,양산형 대형 레이저 발사기,0,0,80,40.0,24,,550.0,1,10,12.0,2,11,종류 상관 없이 적 40대 격파,38000,강력한 단일 레이저를 발사하는 양산형 레이저포입니다. 화력과 사거리가 증가했습니다.
20120209,missilepod_1,Sci-Fi Flat Skills / Tex_skill_10,소형 유도탄,0,1,20,10.0,10,5.0,500.0,40,1,,2,2,,5000,동시에 여러 적을 상대하는데 적합한 유도탄입니다. 동시 추적을 지원합니다.
20121110,missilepod_2,Sci-Fi Flat Skills / Tex_skill_10,중형 유도탄,0,1,35,14.5,15,5.0,650.0,30,1,,2,11,종류 상관없이 적 25대 격파,9500,동시에 여러 적을 상대하는데 적합한 유도탄입니다. 크기가 커진만큼 화력도 커졌습니다.
20121311,missilepod_3,Sci-Fi Flat Skills / Tex_skill_10,EMP 유도탄,0,1,25,20.0,35,5.5,550.0,36,1,,2,13,종류 상관 없이 적 35대 무력화,9000,명중 시 전자기파를 방출하는 소형 유도탄입니다. 여러대의 해적선을 상대하는데 효과적입니다.
21100012,enemy_laser_1,,급조된 소형 레이저,1,1,20,10.0,,5.0,250.0,350,,6.0,,,유저 사용 불가,,
21100013,enemy_laser_2,,밀수품 중형 레이저,1,1,25,15.0,,7.0,300.0,300,,5.5,,,유저 사용 불가,,
21100014,enemy_roket,,고철 로켓,1,1,35,17.5,,,400.0,2,,20.0,,,유저 사용 불가,,
